row,generic_key,drug_brand_name,route,country,approval_date,foreign_alt_name,box_warning,box_warning_date
191,imuran,imuran,,,,,,
192,imuran,imuran,,,,,,
193,imuran,imuran,,,,,,
194,imuran,imuran,,,,,,
195,imuran,imuran,,,,,,
196,imuran,imuran,,,,,,
197,imuran,imuran,,,,,,
198,imuran,imuran,,,,,,
199,imuran,imuran,,,,,,
200,imuran,imuran,,,,,,
201,imuran,imuran,,,,,,
202,imuran,imuran,,,,,,
203,imuran,imuran,,,,,,
204,imuran,imuran,,,,,,
205,imuran,imuran,,,,,,
206,imuran,imuran,,,,,,
207,imuran,imuran,,,,,,
208,imuran,imuran,,,,,,
209,imuran,imuran,,,,,,
210,imuran,imuran,,,,,,
211,imuran,imuran,,,,,,
212,imuran,imuran,,,,,,
213,imuran,imuran,,,,,,
214,imuran,imuran,,,,,,
215,imuran,imuran,,,,,,
216,imuran,imuran,,,,,,
217,imuran,imuran,,,,,,
218,imuran,imuran,,,,,,
219,imuran,imuran,,,,,,
220,imuran,imuran,,,,,,
221,imuran,imuran,,,,,,
222,imuran,imuran,,,,,,
223,imuran,imuran,,,,,,
224,imuran,imuran,,,,,,
225,imuran,imuran,,,,,,
226,imuran,imuran,,,,,,
227,imuran,imuran,,,,,,
228,imuran,imuran,,,,,,
229,imuran,imuran,,,,,,
230,imuran,imuran,,,,,,
231,imuran,imuran,,,,,,
232,imuran,imuran,,,,,,
233,imuran,imuran,,,,,,
234,imuran,imuran,,,,,,
235,imuran,imuran,,,,,,
236,imuran,imuran,,,,,,
237,imuran,imuran,,,,,,
238,imuran,imuran,,,,,,
239,imuran,imuran,,,,,,
240,imuran,imuran,,,,,,
241,imuran,imuran,,,,,,
242,imuran,imuran,,,,,,
243,imuran,imuran,,,,,,
244,imuran,imuran,,,,,,
245,imuran,imuran,,,,,,
246,imuran,imuran,,,,,,
247,imuran,imuran,,,,,,
248,imuran,imuran,,,,,,
249,imuran,imuran,,,,,,
250,imuran,imuran,,,,,,
251,imuran,imuran,,,,,,
252,imuran,imuran,,,,,,
253,imuran,imuran,,,,,,
254,imuran,imuran,,,,,,
255,imuran,imuran,,,,,,
256,imuran,imuran,,,,,,
257,imuran,imuran,,,,,,
258,imuran,imuran,,,,,,
259,imuran,imuran,,,,,,
260,imuran,imuran,,,,,,
261,imuran,imuran,,,,,,
262,imuran,imuran,,,,,,
263,rinvoq,rinvoq,,,,,,
264,rinvoq,rinvoq,,,,,,
265,rinvoq,rinvoq,,,,,,
266,rinvoq,rinvoq,,,,,,
267,rinvoq,rinvoq,,,,,,
268,rinvoq,rinvoq,,,,,,
269,rinvoq,rinvoq,,,,,,
270,rinvoq,rinvoq,,,,,,
271,rinvoq,rinvoq,,,,,,
272,rinvoq,rinvoq,,,,,,
273,rinvoq,rinvoq,,,,,,
274,rinvoq,rinvoq,,,,,,
275,rinvoq,rinvoq,,,,,,
276,rinvoq,rinvoq,,,,,,
277,rinvoq,rinvoq,,,,,,
278,rinvoq,rinvoq,,,,,,
279,rinvoq,rinvoq,,,,,,
280,rinvoq,rinvoq,,,,,,
281,rinvoq,rinvoq,,,,,,
282,rinvoq,rinvoq,,,,,,
283,rinvoq,rinvoq,,,,,,
284,rinvoq,rinvoq,,,,,,
285,rinvoq,rinvoq,,,,,,
286,rinvoq,rinvoq,,,,,,
287,rinvoq,rinvoq,,,,,,
288,rinvoq,rinvoq,,,,,,
289,rinvoq,rinvoq,,,,,,
290,rinvoq,rinvoq,,,,,,
291,rinvoq,rinvoq,,,,,,
292,rinvoq,rinvoq,,,,,,
293,rinvoq,rinvoq,,,,,,
294,rinvoq,rinvoq,,,,,,
295,rinvoq,rinvoq,,,,,,
296,rinvoq,rinvoq,,,,,,
297,rinvoq,rinvoq,,,,,,
298,rinvoq,rinvoq,,,,,,
299,rinvoq,rinvoq,,,,,,
300,rinvoq,rinvoq,,,,,,
301,rinvoq,rinvoq,,,,,,
302,rinvoq,rinvoq,,,,,,
303,rinvoq,rinvoq,,,,,,
304,rinvoq,rinvoq,,,,,,
305,rinvoq,rinvoq,,,,,,
306,rinvoq,rinvoq,,,,,,
307,rinvoq,rinvoq,,,,,,
308,rinvoq,rinvoq,,,,,,
309,rinvoq,rinvoq,,,,,,
310,rinvoq,rinvoq,,,,,,
311,rinvoq,rinvoq,,,,,,
312,rinvoq,rinvoq,,,,,,
313,rinvoq,rinvoq,,,,,,
314,rinvoq,rinvoq,,,,,,
315,rinvoq,rinvoq,,,,,,
316,rinvoq,rinvoq,,,,,,
317,rinvoq,rinvoq,,,,,,
318,rinvoq,rinvoq,,,,,,
319,rinvoq,rinvoq,,,,,,
320,rinvoq,rinvoq,,,,,,
321,rituxan,rituxan,,,,,,
322,rituxan,rituxan,,,,,,
323,rituxan,rituxan,,,,,,
324,rituxan,rituxan,,,,,,
325,rituxan,rituxan,,,,,,
326,rituxan,rituxan,,,,,,
327,rituxan,rituxan,,,,,,
328,rituxan,rituxan,,,,,,
329,rituxan,rituxan,,,,,,
330,rituxan,rituxan,,,,,,
331,rituxan,rituxan,,,,,,
332,rituxan,rituxan,,,,,,
333,rituxan,rituxan,,,,,,
334,rituxan,rituxan,,,,,,
335,rituxan,rituxan,,,,,,
336,rituxan,rituxan,,,,,,
337,rituxan,rituxan,,,,,,
338,rituxan,rituxan,,,,,,
339,rituxan,rituxan,,,,,,
340,rituxan,rituxan,,,,,,
341,rituxan,rituxan,,,,,,
342,rituxan,rituxan,,,,,,
343,sirukumab,sirukumab,,,,,,
344,sirukumab,sirukumab,,,,,,
345,sirukumab,sirukumab,,,,,,
346,sirukumab,sirukumab,,,,,,
